Country,detail,Price,Size,Moy_prix_by_size
Ariana,Raoued,160000.0,150.0,1066.6666666666667
Ariana,Raoued,160000.0,150.0,1066.6666666666667
Ariana,Raoued,250000.0,171.0,1461.9883040935672
Ariana,Raoued,250000.0,171.0,1461.9883040935672
Ariana,Raoued,250000.0,171.0,1461.9883040935672
Ariana,Raoued,75000.0,50.0,1500.0
Ariana,Raoued,250000.0,172.0,1453.4883720930234
Ariana,Raoued,250000.0,171.0,1461.9883040935672
Ariana,Raoued,250000.0,104.0,2403.846153846154
Ariana,Raoued,250000.0,171.0,1461.9883040935672
Ariana,Raoued,110000.0,70.0,1571.428571428571
Ariana,Raoued,75000.0,50.0,1500.0
Ariana,Raoued,250000.0,171.0,1461.9883040935672
Ariana,Raoued,160000.0,150.0,1066.6666666666667
Ariana,Raoued,250000.0,172.0,1453.4883720930234
Ariana,Raoued,110000.0,71.0,1549.2957746478876
Ariana,Raoued,250000.0,171.0,1461.9883040935672
Ariana,Raoued,220000.0,130.0,1692.3076923076926
Ariana,Raoued,250000.0,104.0,2403.846153846154
